Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : SAN REGIS
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'46.83'',Longitud :,73°54'27.02'',Altitud :,101 msnm.
Tipo :,EMA - Meteorológica,Código :,104112
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2026/04/01,00:00,24.0,0.0,100,S/D,S/D
2026/04/01,01:00,23.9,0.0,100,S/D,S/D
2026/04/01,02:00,23.9,0.0,100,S/D,S/D
2026/04/01,03:00,24.0,0.0,100,S/D,S/D
2026/04/01,04:00,24.2,0.0,100,S/D,S/D
2026/04/01,05:00,24.4,0.0,100,S/D,S/D
2026/04/01,06:00,24.4,0.0,100,S/D,S/D
2026/04/01,07:00,24.5,0.0,100,S/D,S/D
2026/04/01,08:00,24.8,0.0,100,S/D,S/D
2026/04/01,09:00,26.8,0.0,91,S/D,S/D
2026/04/01,10:00,28.3,0.0,87,S/D,S/D
2026/04/01,11:00,29.1,0.0,82,S/D,S/D
2026/04/01,12:00,30.4,0.0,75,S/D,S/D
2026/04/01,13:00,29.3,0.0,81,S/D,S/D
2026/04/01,14:00,30.9,0.0,72,S/D,S/D
2026/04/01,15:00,31.1,0.0,71,S/D,S/D
2026/04/01,16:00,30.4,0.0,71,S/D,S/D
2026/04/01,17:00,29.9,0.0,76,S/D,S/D
2026/04/01,18:00,27.6,0.0,87,S/D,S/D
2026/04/01,19:00,26.1,0.0,95,S/D,S/D
2026/04/01,20:00,25.6,0.0,98,S/D,S/D
2026/04/01,21:00,25.3,0.0,98,S/D,S/D
2026/04/01,22:00,25.0,0.0,99,S/D,S/D
2026/04/01,23:00,24.7,0.0,100,S/D,S/D
2026/04/02,00:00,24.7,0.0,100,S/D,S/D
2026/04/02,01:00,24.3,0.0,100,S/D,S/D
2026/04/02,02:00,24.0,0.0,100,S/D,S/D
2026/04/02,03:00,23.6,0.0,100,S/D,S/D
2026/04/02,04:00,23.9,0.0,100,S/D,S/D
2026/04/02,05:00,23.8,0.0,100,S/D,S/D
2026/04/02,06:00,23.5,0.0,100,S/D,S/D
2026/04/02,07:00,24.1,0.0,100,S/D,S/D
2026/04/02,08:00,26.4,0.0,92,S/D,S/D
2026/04/02,09:00,26.8,0.0,90,S/D,S/D
2026/04/02,10:00,27.8,0.0,87,S/D,S/D
2026/04/02,11:00,29.2,0.0,83,S/D,S/D
2026/04/02,12:00,28.5,0.0,85,S/D,S/D
2026/04/02,13:00,26.5,0.0,97,S/D,S/D
2026/04/02,14:00,26.4,0.0,91,S/D,S/D
2026/04/02,15:00,26.2,S/D,S/D,S/D,S/D
2026/04/02,16:00,25.7,0.0,89,S/D,S/D
2026/04/02,17:00,24.7,0.0,93,S/D,S/D
2026/04/02,18:00,24.3,0.0,95,S/D,S/D
2026/04/02,19:00,24.0,0.0,95,S/D,S/D
2026/04/02,20:00,24.0,0.0,97,S/D,S/D
2026/04/02,21:00,24.3,0.0,96,S/D,S/D
2026/04/02,22:00,24.0,0.0,95,S/D,S/D
2026/04/02,23:00,23.5,0.0,98,S/D,S/D
2026/04/03,00:00,23.3,0.0,99,S/D,S/D
2026/04/03,01:00,23.3,0.0,100,S/D,S/D
2026/04/03,02:00,23.2,0.0,100,S/D,S/D
2026/04/03,03:00,23.0,0.0,100,S/D,S/D
2026/04/03,04:00,22.9,0.0,100,S/D,S/D
2026/04/03,05:00,22.9,0.0,100,S/D,S/D
2026/04/03,06:00,22.7,0.0,100,S/D,S/D
2026/04/03,07:00,23.1,0.0,99,S/D,S/D
2026/04/03,08:00,24.8,0.0,92,S/D,S/D
2026/04/03,09:00,25.6,0.0,87,S/D,S/D
2026/04/03,10:00,26.4,0.0,84,S/D,S/D
2026/04/03,11:00,28.2,0.0,79,S/D,S/D
2026/04/03,12:00,30.0,0.0,75,S/D,S/D
2026/04/03,13:00,30.5,0.0,73,S/D,S/D
2026/04/03,14:00,30.2,0.0,74,S/D,S/D
2026/04/03,15:00,29.1,0.0,75,S/D,S/D
2026/04/03,16:00,30.0,0.0,75,S/D,S/D
2026/04/03,17:00,27.1,0.0,89,S/D,S/D
2026/04/03,18:00,27.0,0.0,86,S/D,S/D
2026/04/03,19:00,26.1,0.0,92,S/D,S/D
2026/04/03,20:00,25.7,0.0,95,S/D,S/D
2026/04/03,21:00,24.7,0.0,96,S/D,S/D
2026/04/03,22:00,24.4,0.0,96,S/D,S/D
2026/04/03,23:00,24.0,0.0,99,S/D,S/D
2026/04/04,00:00,23.9,0.0,99,S/D,S/D
2026/04/04,01:00,23.7,0.0,100,S/D,S/D
2026/04/04,02:00,23.9,0.0,98,S/D,S/D
2026/04/04,03:00,23.6,0.0,98,S/D,S/D
2026/04/04,04:00,23.6,0.0,98,S/D,S/D
2026/04/04,05:00,23.6,0.0,99,S/D,S/D
2026/04/04,06:00,23.5,0.0,99,S/D,S/D
2026/04/04,07:00,23.9,0.0,99,S/D,S/D
2026/04/04,08:00,24.7,0.0,94,S/D,S/D
2026/04/04,09:00,26.4,0.0,86,S/D,S/D
2026/04/04,10:00,27.7,0.0,81,S/D,S/D
2026/04/04,11:00,28.1,0.0,80,S/D,S/D
2026/04/04,12:00,29.7,0.0,75,S/D,S/D
2026/04/04,13:00,30.7,0.0,71,S/D,S/D
2026/04/04,14:00,31.2,0.0,68,S/D,S/D
2026/04/04,15:00,31.7,0.0,64,S/D,S/D
2026/04/04,16:00,32.2,0.0,60,S/D,S/D
